City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
114,Tahta,EG,26.7693,31.5021,91.0,23,0,8.19,clear sky
115,Tessalit,ML,20.1986,1.0114,97.12,13,91,6.85,overcast clouds
116,Shihezi,CN,44.3,86.0333,53.28,68,98,11.01,overcast clouds
117,Piskavica,BA,44.8681,16.9736,60.03,82,99,4.79,overcast clouds
118,Shache,CN,38.4167,77.2406,65.71,18,4,2.73,clear sky
119,Road Town,VG,18.4167,-64.6167,81.75,75,100,12.64,overcast clouds
120,Razole,IN,16.4833,81.8333,75.87,94,100,2.93,overcast clouds
121,Matay,EG,28.419,30.7792,89.87,25,0,15.35,clear sky
122,Mezhdurechensk,RU,53.6942,88.0603,28.08,91,99,5.82,overcast clouds
123,Namibe,AO,-15.1961,12.1522,68.25,85,97,2.57,overcast clouds
124,Lebrija,ES,36.9208,-6.0753,67.84,88,20,8.05,few clouds
125,Uribia,CO,11.7139,-72.266,86.34,63,91,11.39,overcast clouds
126,Sarny,UA,51.338,26.6019,50.41,97,91,3.53,overcast clouds
127,Ostrovnoy,RU,68.0531,39.5131,35.87,69,99,10.4,overcast clouds
128,Punta Arenas,CL,-53.15,-70.9167,55.11,56,68,17.31,broken clouds
129,Vigrestad,NO,58.5667,5.7,50.59,71,76,1.32,broken clouds
130,Peiting,DE,47.8,10.9333,45.73,93,100,3.44,light rain
131,Manta,EC,-0.95,-80.7333,76.28,70,8,15.55,clear sky
132,Barra Do Corda,BR,-5.5,-45.25,99.86,23,55,5.12,broken clouds
133,Marsa Matruh,EG,31.3525,27.2453,82.17,60,0,14.25,clear sky
134,Qandala,SO,11.472,49.8728,87.67,59,56,2.13,broken clouds
135,Akonolinga,CM,3.7667,12.25,67.98,97,15,2.33,light rain
136,Inhambane,MZ,-23.865,35.3833,70.03,85,0,8.75,clear sky
137,Saint-Philippe,RE,-21.3585,55.7679,69.39,84,42,11.12,light rain
138,Chicama,PE,-7.8447,-79.1469,59.54,62,43,10.4,scattered clouds
139,Kargasok,RU,59.0556,80.8572,29.7,91,84,11.23,broken clouds
140,Rudbar,AF,30.15,62.6,76.5,16,0,0.67,clear sky
141,Modasa,IN,23.4667,73.3,76.33,79,9,7.56,clear sky
142,Kifri,IQ,34.6959,44.9661,83.88,14,0,8.52,clear sky
143,Utinga,BR,-5.8172,-35.3954,81.45,69,75,11.5,broken clouds
144,Beloha,MG,-25.1667,45.05,66.78,74,0,10.16,clear sky
145,Sensuntepeque,SV,13.8667,-88.6333,78.64,73,85,1.99,overcast clouds
146,Setermoen,NO,68.861,18.3486,48.16,88,43,5.19,scattered clouds
147,Manyana,BW,-23.4,21.7167,71.15,28,28,9.48,scattered clouds
148,Cidreira,BR,-30.1811,-50.2056,61.99,63,97,13.09,overcast clouds
149,Gat,IL,31.61,34.7642,81.39,100,0,5.28,clear sky
150,Filadelfia,US,39.9523,-75.1638,70.43,49,75,10.36,broken clouds
151,Sur,OM,22.5667,59.5289,80.13,76,0,15.41,clear sky
152,Oriximina,BR,-1.7656,-55.8661,96.87,32,39,7.87,scattered clouds
153,Pisco,PE,-13.7,-76.2167,64.45,72,0,9.22,clear sky
154,Hauterive,FR,46.0901,3.4459,52.56,87,99,3.53,overcast clouds
155,Puerto Ayora,EC,-0.7393,-90.3518,76.96,93,51,5.99,broken clouds
156,Gamba,GA,-2.65,10.0,75.27,83,2,4.81,clear sky
