City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
345,Prokopyevsk,53.9059,86.719,29.77,80,81,6.17,RU,2022-09-29 14:25:39
346,Vila Franca Do Campo,37.7167,-25.4333,72.01,59,10,7.05,PT,2022-09-29 14:25:40
347,Pedernales,18.0384,-71.744,83.41,65,0,3.47,DO,2022-09-29 14:25:40
348,Sao Filipe,14.8961,-24.4956,81.81,75,2,7.7,CV,2022-09-29 14:25:41
349,Asau,46.4333,26.4,72.52,48,100,5.28,RO,2022-09-29 14:25:41
350,Soweto,-26.2678,27.8585,78.48,24,0,2.3,ZA,2022-09-29 14:25:41
351,Sikandra Rao,27.7,78.4,83.41,56,0,6.93,IN,2022-09-29 14:25:41
352,Iki-Burul,45.8208,44.6472,76.48,40,3,8.7,RU,2022-09-29 14:25:42
353,Napoleon,41.3923,-84.1252,58.03,68,0,7.14,US,2022-09-29 14:25:42
354,Biltine,14.5333,20.9167,87.24,41,90,3.04,TD,2022-09-29 14:25:42
355,Tucupita,9.0622,-62.051,85.03,66,28,4.25,VE,2022-09-29 14:25:43
356,Lakeland,28.0395,-81.9498,69.58,88,100,21.56,US,2022-09-29 14:25:15
357,Mount Gambier,-37.8333,140.7667,46.31,100,58,6.91,AU,2022-09-29 14:25:43
358,Fiche,9.8,38.7333,58.64,68,68,3.65,ET,2022-09-29 14:25:43
359,Paita,-5.0892,-81.1144,66.15,74,7,11.23,PE,2022-09-29 14:25:44
360,Padang,-0.9492,100.3543,78.85,85,100,3.89,ID,2022-09-29 14:25:44
361,Betafo,-19.8333,46.85,75.65,24,0,5.35,MG,2022-09-29 14:25:45
362,Flin Flon,54.7682,-101.865,49.84,93,20,5.75,CA,2022-09-29 14:25:45
363,Kampong Thum,12.7111,104.8887,76.23,92,95,3.11,KH,2022-09-29 14:25:45
364,Cabo San Lucas,22.8909,-109.9124,83.52,82,0,4.47,MX,2022-09-29 14:25:31
365,Haines Junction,60.7522,-137.5108,48.15,61,98,5.75,CA,2022-09-29 14:25:46
366,Praia Da Vitoria,38.7333,-27.0667,73.65,64,75,10.04,PT,2022-09-29 14:25:46
367,Presidente Medici,-11.1753,-61.9014,82.33,68,100,6.87,BR,2022-09-29 14:25:46
368,Balakhta,55.38,91.6,33.57,95,100,5.48,RU,2022-09-29 14:25:46
